Sr No,Date,Open,High,Low,Close,Volume,date,time
0,03-04-2023 04:00,164.0431059,166.0603048,163.993172,165.9404755,56976200,03-06-2023,04:00:00
1,04-04-2023 04:00,166.3698913,166.60955,164.8819438,165.4012299,46278300,03-06-2023,04:00:00
2,05-04-2023 04:00,164.5124555,164.8220249,161.576514,163.5337982,51511700,03-06-2023,04:00:00
3,06-04-2023 04:00,162.2056255,164.7321448,161.7762268,164.4325562,45390100,03-06-2023,04:00:00
4,07-04-2023 04:00,161.1970249,161.8061829,159.8588795,161.8061829,47716900,03-06-2023,04:00:00
5,08-04-2023 04:00,162.1257582,162.1357389,160.2882882,160.5778961,47644200,03-06-2023,04:00:00
6,09-04-2023 04:00,160.9973085,161.8361446,159.5592952,159.8788605,50133100,03-06-2023,04:00:00
7,10-04-2023 04:00,161.4067498,165.5709881,161.1970332,165.3313141,68445600,03-06-2023,04:00:00
8,11-04-2023 04:00,164.3626575,166.090279,163.5937321,164.9818115,49386500,03-06-2023,04:00:00
9,12-04-2023 04:00,164.861964,165.1615527,163.8034306,165.00177,41516200,03-06-2023,04:00:00
10,13-04-2023 04:00,165.8705825,167.1787706,165.4211918,166.2400665,49923000,03-06-2023,04:00:00
11,14-04-2023 04:00,165.5709939,167.9277347,165.3113432,167.398468,47720200,03-06-2023,04:00:00
12,15-04-2023 04:00,165.8605758,167.6381158,165.3313091,166.4197998,52456400,03-06-2023,04:00:00
13,16-04-2023 04:00,164.8220258,166.220086,164.2628018,164.7920685,58337300,03-06-2023,04:00:00
14,17-04-2023 04:00,164.7720928,165.3712701,163.6636254,165.1016388,41949600,03-06-2023,04:00:00
15,18-04-2023 04:00,164.9618295,166.0802776,163.5038394,163.5437927,48714100,03-06-2023,04:00:00
16,19-04-2023 04:00,162.8347682,165.051703,162.5751328,163.5337982,45498800,03-06-2023,04:00:00
17,20-04-2023 04:00,164.9618299,168.3271701,164.9618299,168.1773834,64902300,03-06-2023,04:00:00
18,21-04-2023 04:00,168.2572742,169.6153963,167.6481162,169.4456177,55209200,03-06-2023,04:00:00
19,22-04-2023 04:00,169.046174,170.2145561,168.4070587,169.3557434,52472900,03-06-2023,04:00:00
20,23-04-2023 04:00,169.855052,170.1147026,167.3085712,168.3071899,48425700,03-06-2023,04:00:00
21,24-04-2023 04:00,169.2658757,170.6839125,166.9291115,167.2187042,65136000,03-06-2023,04:00:00
22,25-04-2023 04:00,164.6622386,166.8092628,164.083038,165.5609894,81235400,03-06-2023,04:00:00
23,26-04-2023 04:00,170.7438271,174.0592486,170.5241298,173.3302612,113316400,03-06-2023,04:00:00
24,27-04-2023 04:00,172.2417501,173.6098681,171.8722661,173.2603455,55962800,03-06-2023,04:00:00
25,28-04-2023 04:00,172.8109761,173.3002896,171.362982,171.5327454,45326900,03-06-2023,04:00:00
26,29-04-2023 04:00,172.7810193,173.7896188,171.662556,173.3202667,53724500,03-06-2023,04:00:00
27,30-04-2023 04:00,173.6098777,174.3488459,171.9321903,173.5100098,49514700,03-06-2023,04:00:00
28,01-05-2023 04:00,173.6199951,174.0599976,171,172.5700073,45497800,03-06-2023,04:00:00
29,02-05-2023 04:00,173.1600037,173.2100067,171.4700012,172.0700073,37266700,03-06-2023,04:00:00
